isX,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,target
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,-1,1,0,-1,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,0,0,0,4
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,0,0,0,5
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,1,-1,0,6
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,-1,1,0,-1,0,0,1,1,-1,0,5
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,1,0,0,1,1,0,0,-1,0,0,1,-1,1,0,-1,0,0,1,1,-1,0,3
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,1,0,0,1,1,0,0,-1,0,0,1,-1,1,0,-1,-1,1,1,1,-1,0,6
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,1,0,0,1,1,1,0,-1,0,0,1,-1,1,0,-1,-1,1,1,1,-1,0,2
1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,1,0,0,1,1,1,0,-1,1,-1,1,-1,1,0,-1,-1,1,1,1,-1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,1,0,-1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,0,0,0,0,1,0,-1,1,0,0,5
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,0,0,5
0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,1,0,-1,1,0,0,4
0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,1,1,-1,1,0,0,2
0,0,0,0,-1,0,0,0,0,1,0,-1,1,0,0,0,-1,0,1,-1,0,0,0,-1,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,1,1,-1,1,0,0,7
0,0,0,0,-1,0,0,0,0,1,0,-1,1,0,0,0,-1,0,1,-1,0,0,0,-1,0,-1,1,0,0,0,1,1,-1,-1,0,0,0,1,1,-1,1,0,-1,3
0,0,0,0,-1,0,0,0,0,1,0,-1,1,0,0,0,-1,1,1,-1,0,0,0,-1,-1,-1,1,0,0,0,1,1,-1,-1,0,0,0,1,1,-1,1,0,-1,11
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,0,0,6
